,AMBIENT_TEMPERATURE,DISCHARGE_FLOW_COMMON,DISCHARGE_PRESSURE,DISCHARGE_TEMP_1,FLOW_1,FLOW_2,GROSS_LOAD,IB_SEAL_DRAIN_TEMP,MOTOR_CURRENT,MOTOR_IB_TEMP_1,MOTOR_OB_TEMP_1,MOTOR_STATOR_TEMP_1,MOTOR_STATOR_TEMP_2,MOTOR_STATOR_TEMP_3,OB_SEAL_DRAIN_TEMP,PUMP_DELTA_PRESS_CV,PUMP_IB_TEMP_1,PUMP_OB_TEMP_1,PUMP_OB_TEMP_2,SUCTION_PRESSURE_1,SUCTION_STRAINER_DP,SUCTION_TEMP_1
2018-11-19 08:23:51.813,25.06758118,1339.510986,2.607718706,179.5282593,1331.326904,1334.840332,828.0449219,43.34421539,85.82315826,56.59083176,40.13142014,76.6131134,73.57715607,72.03407288,42.82580185,1.420615673,60.10617065,70.70080566,63.57309341,1.187103033,19.76062775,179.501236
2018-11-19 08:23:56.819,26.25368309,1343.060791,2.607718706,179.4201508,1331.383789,1333.727417,825.6461182,43.57751083,85.23692322,56.8771286,40.62350464,76.0632782,73.18475342,71.69417572,42.92947769,1.417562366,60.62728882,71.19745636,64.19908142,1.190156341,19.51636696,179.4471741
2018-11-19 08:24:01.825,27.64660454,1437.769775,2.624817133,182.6381531,1426.911987,1428.001587,885.6146851,44.45904922,88.16804504,57.91841888,41.65970612,78.81330109,75.98474884,74.23121643,44.2775383,1.365962863,60.86180878,71.22360229,64.53822327,1.25885427,22.50854874,182.6652069
2018-11-19 08:24:06.831,28.52391815,1468.21228,2.624817133,183.2604828,1459.720581,1461.848145,904.8045654,45.02957535,88.75426483,59.14234543,42.46297073,80.43819427,77.37252808,75.77531433,44.7183609,1.3506965640000002,61.38302612,71.61574554,65.00785065,1.274120569,23.60771942,183.314621
2018-11-19 08:24:11.837,29.04010963,1492.770874,2.624817133,183.9100342,1486.516968,1486.516968,912.800354,45.44455338,90.21982574,60.10617065,43.05908203,81.69671631,78.76088715,77.13682556,45.05549622,1.340010166,61.77400589,71.82489014,65.24267578,1.284806967,24.52369499,183.9100342
2018-11-19 08:24:16.845,29.42728043,1472.080566,2.627259731,183.6393585,1459.36438,1460.428345,903.2053833,45.75583649,89.04737854,60.67939377,43.3182869,82.3523941,79.28495026,77.52966309,45.18518448,1.3500858550000001,62.0346756,72.03407288,65.4514389,1.277173877,23.60771942,183.6393585
2018-11-19 08:24:21.852,29.63380241,1338.043335,2.615046501,179.9337463,1325.151367,1326.328491,818.4498901,44.97769547,84.94380951,60.67939377,43.421978,80.38574982,77.58205414,75.93237305,44.40717697,1.421836972,62.42573166,72.63552856,65.68630219,1.193209529,19.51636696,179.9066925
2018-11-19 08:24:26.857,29.58218384,1213.971802,2.602833748,176.7994843,1208.801514,1212.681396,756.0827026,44.32938766,81.4264679,59.81959152,42.98132706,78.00115967,75.2518158,73.603302,43.73307037,1.473742485,62.5039444,72.97554016,65.7645874,1.129091263,16.34098816,176.7454529
2018-11-19 08:24:31.863,29.24658775,1141.874268,2.571079731,172.7511292,1128.019531,1130.803955,697.7133789,43.78491211,78.34880829,58.28294373,42.1520195,74.59754944,72.03407288,70.4394455,42.8776474,1.516793013,62.76469421,73.78644562,66.20829773,1.054286718,14.38690853,172.7241821
2018-11-19 08:24:36.869,28.70457268,1313.658447,2.556424141,174.2619171,1304.0625,1305.265869,781.6693115,43.370121,84.65071106,57.4498024,41.71151352,74.28356171,71.7726059,70.28264618,42.4888916,1.444125772,62.00862503,73.2109375,65.8950882,1.112298369,18.60039139,174.5317841
